id,credit,delayed,amount,gender,education,age,marital,default
5794,280000,0,1002148,Male,graduate school,33,single,0
15798,70000,0,251613,Male,graduate school,28,single,0
3359,50000,6,257257,Female,highschool,25,single,1
2794,450000,0,251,Female,univeristy,43,married,0
15693,300000,0,1326,Female,univeristy,33,married,0
2072,300000,0,294,Female,graduate school,28,single,0
8098,200000,0,155940,Male,univeristy,32,married,0
28178,200000,2,0,Male,univeristy,51,married,1
10712,50000,3,170367,Male,graduate school,50,married,1
6993,320000,0,11589,Female,graduate school,28,single,0
27690,50000,0,26836,Female,univeristy,26,single,1
5422,220000,10,5900,Female,graduate school,38,single,0
23314,440000,0,9577,Female,graduate school,34,single,0
27046,100000,0,317320,Female,graduate school,24,single,0
20340,320000,0,367919,Female,univeristy,32,married,0
15106,380000,0,0,Female,graduate school,36,married,0
20064,300000,0,1980,Male,graduate school,48,married,0
604,180000,0,645354,Male,graduate school,26,single,0
5044,90000,0,114392,Female,univeristy,50,married,0
21087,240000,1,0,Female,graduate school,25,single,0
18415,90000,9,167593,Female,univeristy,32,single,1
21439,80000,0,406596,Male,graduate school,33,single,1
11188,30000,2,2577,Female,highschool,39,married,1
19938,160000,0,0,Female,univeristy,36,married,1
25154,60000,6,1083,Female,graduate school,38,married,0
22302,300000,0,80748,Male,univeristy,27,single,0
26258,150000,0,666789,Female,graduate school,31,married,0
8264,30000,0,162726,Male,univeristy,24,single,0
14388,30000,2,173295,Female,univeristy,25,married,0
27139,250000,0,1917,Female,univeristy,45,married,0
12758,350000,0,1151722,Female,univeristy,29,single,0
10605,50000,0,0,Male,graduate school,26,single,0
28163,500000,0,1366330,Male,graduate school,51,married,0
18816,80000,6,2892,Female,univeristy,35,married,0
18814,280000,1,0,Male,graduate school,31,single,0
19836,380000,0,130782,Female,univeristy,28,single,0
15705,200000,1,0,Female,univeristy,35,married,0
10922,50000,2,144784,Female,highschool,49,married,1
21250,20000,0,217841,Female,univeristy,39,married,0
27085,160000,0,0,Female,univeristy,25,single,0
17938,100000,0,214325,Male,univeristy,52,married,0
12037,260000,7,5000,Male,graduate school,38,married,1
28552,450000,1,0,Female,graduate school,36,single,0
9915,130000,0,579,Female,univeristy,23,married,1
3425,140000,12,103264,Female,graduate school,54,single,1
10005,300000,0,15971,Male,graduate school,34,married,0
16432,140000,0,0,Female,graduate school,45,married,0
21968,30000,0,5745,Female,graduate school,27,single,0
9747,50000,12,271198,Female,graduate school,23,single,1
12895,80000,0,2894,Female,univeristy,40,married,0
5109,50000,0,167204,Male,highschool,24,married,1
16194,110000,2,165304,Male,univeristy,25,single,0
530,300000,0,13889,Female,graduate school,33,single,0
11829,450000,1,0,Female,graduate school,40,married,0
24607,30000,0,84580,Female,highschool,37,married,0
1994,360000,0,1049376,Female,univeristy,54,single,0
2297,230000,0,19560,Male,univeristy,27,single,1
3152,110000,0,1457,Female,highschool,53,married,0
5198,190000,3,770368,Male,univeristy,58,married,0
19618,390000,1,0,Female,graduate school,48,married,0
15871,10000,0,54196,Male,univeristy,40,single,1
21898,260000,0,1268048,Female,univeristy,32,married,0
5005,280000,2,8321,Male,graduate school,55,married,0
17127,350000,2,1590135,Female,graduate school,32,single,0
18578,280000,1,0,Male,graduate school,35,single,0
2286,190000,0,448256,Male,univeristy,43,married,0
27381,80000,2,9774,Female,highschool,30,single,1
4162,210000,0,339431,Male,highschool,28,single,0
20687,280000,0,346847,Female,graduate school,29,married,0
10883,150000,0,0,Female,graduate school,29,single,0
13052,120000,2,634591,Female,graduate school,51,married,0
9243,180000,0,205,Female,highschool,31,single,0
23404,50000,0,184347,Female,highschool,49,married,0
21532,70000,2,160166,Female,highschool,35,married,1
424,50000,4,9815,Male,graduate school,26,single,1
21387,200000,1,0,Female,graduate school,39,married,0
18792,440000,0,52480,Male,graduate school,31,single,0
5846,80000,0,344445,Female,highschool,49,married,0
18276,20000,13,1932,Female,univeristy,24,single,1
18314,50000,0,87996,Female,univeristy,31,married,0
16102,150000,2,863083,Female,graduate school,36,single,1
1931,200000,0,128441,Male,graduate school,35,married,0
9122,100000,0,542589,Female,highschool,50,married,0
27025,20000,0,2947,Male,graduate school,25,single,1
28031,20000,0,390,Male,highschool,27,single,0
20388,50000,0,167431,Female,univeristy,28,married,0
24688,20000,0,4065,Female,univeristy,50,single,0
12615,30000,0,68135,Female,univeristy,35,single,0
2010,180000,12,955594,Male,graduate school,23,single,1
10815,50000,0,246169,Female,highschool,34,single,0
11144,50000,2,154135,Female,highschool,47,married,0
7568,170000,1,0,Male,highschool,44,married,0
28224,260000,0,1186120,Male,graduate school,39,single,0
5761,500000,0,2165508,Female,graduate school,37,married,0
11691,100000,13,543537,Male,univeristy,29,single,1
25606,170000,0,0,Male,graduate school,35,married,1
2234,50000,0,376205,Female,univeristy,33,married,1
3785,20000,0,82080,Female,univeristy,24,single,0
5884,340000,0,67976,Female,univeristy,37,married,0
28023,170000,3,45980,Female,univeristy,31,married,0
27890,320000,0,8654,Male,graduate school,47,married,0
27391,500000,3,2401749,Male,graduate school,37,married,0
1632,30000,4,174318,Female,univeristy,33,married,1
19607,80000,8,436894,Female,univeristy,24,single,0
13977,180000,0,1968,Female,graduate school,47,married,0
18149,50000,0,57964,Male,highschool,33,single,0
1561,200000,0,1520,Female,highschool,49,single,0
10531,130000,13,115020,Female,highschool,43,married,1
29077,150000,6,5136,Female,highschool,38,single,0
7805,40000,0,61544,Male,highschool,23,single,0
6940,30000,6,20186,Female,highschool,31,married,1
28919,280000,0,0,Female,graduate school,49,married,1
8357,140000,4,334032,Female,univeristy,45,married,0
8784,100000,2,258818,Male,univeristy,38,single,1
1602,70000,0,362746,Female,graduate school,24,single,0
26340,180000,0,11844,Female,univeristy,38,married,0
16596,70000,4,82361,Female,univeristy,31,married,1
20075,160000,0,3081,Female,graduate school,31,single,0
26248,80000,0,342056,Male,graduate school,56,single,1
24463,180000,0,62348,Male,graduate school,27,single,0
8487,360000,1,0,Male,graduate school,29,single,0
10948,220000,0,17717,Female,univeristy,30,single,0
24277,140000,0,496230,Female,highschool,35,married,0
17743,160000,0,1056,Female,graduate school,50,single,0
5895,420000,0,756789,Male,univeristy,39,married,0
24788,260000,1,36175,Female,univeristy,37,married,0
27160,160000,0,0,Female,univeristy,40,married,1
7296,120000,0,1654,Female,univeristy,25,single,0
15791,140000,0,783920,Female,univeristy,34,married,0
9514,120000,0,0,Female,univeristy,39,single,1
9532,360000,0,53993,Female,univeristy,47,married,0
3724,180000,0,0,Female,graduate school,40,married,0
23302,10000,17,22721,Male,univeristy,27,married,1
24551,60000,3,221749,Male,univeristy,36,married,0
18917,260000,0,0,Male,graduate school,33,single,0
24432,230000,0,0,Female,graduate school,25,single,0
28150,180000,0,31178,Female,univeristy,41,married,0
28248,20000,0,20000,Female,univeristy,21,single,0
20714,360000,0,757290,Female,graduate school,35,married,0
16539,190000,0,17793,Female,univeristy,40,single,0
2159,390000,0,0,Female,graduate school,35,married,0
27168,50000,0,0,Female,graduate school,22,single,1
4207,50000,0,6672,Male,highschool,51,married,0
29000,350000,0,341033,Female,graduate school,44,married,0
22926,120000,0,88055,Female,graduate school,42,married,0
15877,500000,0,603,Male,univeristy,48,married,0
4639,500000,0,0,Female,graduate school,29,single,0
22401,220000,0,864512,Female,univeristy,37,married,0
11055,30000,1,1747,Female,highschool,35,married,0
6093,50000,5,217146,Male,univeristy,56,married,0
7188,80000,0,384329,Male,univeristy,41,single,0
19945,180000,2,20604,Female,highschool,46,married,1
8194,240000,0,8059,Male,univeristy,42,married,0
7415,30000,0,147939,Female,univeristy,22,single,0
2806,100000,3,12741,Female,graduate school,31,single,0
11221,200000,2,662469,Male,highschool,47,married,0
12530,50000,7,71744,Female,univeristy,47,married,0
27970,320000,0,217861,Female,graduate school,29,single,0
25023,90000,0,14247,Female,graduate school,25,single,0
21731,180000,0,1903,Female,highschool,40,married,0
14232,130000,0,202602,Female,univeristy,28,married,0
333,130000,0,4360,Male,graduate school,27,single,0
1449,130000,1,0,Female,graduate school,30,single,0
13948,110000,1,1934,Male,graduate school,40,married,1
11051,500000,0,850902,Male,graduate school,58,single,0
12345,300000,0,0,Female,graduate school,38,single,0
4477,250000,0,544568,Male,graduate school,31,single,0
20196,270000,0,0,Female,graduate school,45,married,1
8969,360000,0,57791,Female,graduate school,27,single,0
16376,50000,2,94453,Male,univeristy,36,single,0
27581,50000,0,193658,Female,graduate school,23,single,0
116,230000,0,6906,Female,graduate school,31,single,0
10650,440000,0,419453,Female,univeristy,29,single,0
15977,150000,0,253035,Male,graduate school,31,single,0
22001,200000,1,19498,Female,univeristy,39,married,0
12761,140000,0,793,Female,univeristy,40,married,1
14505,240000,0,93858,Female,graduate school,32,single,0
13729,140000,0,160354,Female,highschool,25,married,0
3060,360000,1,0,Male,univeristy,65,married,1
19909,50000,0,0,Male,univeristy,47,married,0
7214,30000,0,168661,Female,univeristy,27,married,0
28920,200000,0,4897,Female,univeristy,32,single,0
18141,200000,1,0,Male,graduate school,39,single,0
20769,360000,0,123,Female,univeristy,37,single,1
2595,50000,6,182505,Female,univeristy,22,single,0
12488,20000,2,76860,Female,univeristy,23,single,0
27961,300000,0,57003,Female,highschool,32,married,0
13302,200000,1,0,Female,graduate school,34,married,1
17546,280000,0,0,Female,univeristy,37,single,0
7133,20000,0,89739,Male,univeristy,30,single,0
23903,200000,0,4331,Female,graduate school,41,single,0
22657,200000,0,135904,Male,graduate school,32,married,0
16368,60000,0,282577,Male,univeristy,30,single,0
20348,260000,2,0,Female,univeristy,37,married,0
25921,240000,0,1017616,Male,univeristy,31,married,0
15846,60000,0,163746,Female,univeristy,28,married,1
1983,380000,0,90583,Female,graduate school,30,single,0
1288,380000,1,2137,Male,graduate school,52,married,0
16133,200000,0,92196,Male,univeristy,41,married,1
6417,50000,2,199004,Male,univeristy,54,married,0
21868,80000,2,127567,Female,univeristy,42,married,1
13442,340000,0,1215094,Female,univeristy,40,married,0
13440,30000,0,159063,Female,graduate school,24,single,0
9034,20000,2,46952,Male,univeristy,24,single,0
28617,90000,0,14882,Female,univeristy,33,married,0
2644,380000,0,563788,Female,graduate school,32,single,0
11728,60000,20,59554,Male,univeristy,40,single,0
1397,110000,28,900,Female,graduate school,41,married,0
4627,20000,0,155158,Male,univeristy,32,married,1
26018,50000,0,149967,Female,graduate school,30,single,0
27864,100000,12,147730,Male,univeristy,31,single,1
21454,100000,0,578924,Female,univeristy,34,single,0
18463,160000,1,0,Female,univeristy,40,married,0
10508,30000,2,166237,Female,univeristy,26,married,0
20998,290000,0,1906,Male,graduate school,45,married,0
14963,20000,0,34255,Female,univeristy,25,single,0
2519,60000,8,281303,Female,univeristy,24,single,1
19031,150000,0,348034,Female,highschool,45,married,0
15990,100000,1,0,Female,highschool,24,single,0
744,30000,10,154446,Male,graduate school,41,single,0
3132,60000,0,180960,Female,highschool,47,single,0
27121,30000,0,164005,Female,univeristy,22,single,0
6967,500000,0,0,Female,univeristy,41,married,0
5934,360000,0,293395,Female,univeristy,35,married,0
14752,50000,0,23121,Female,graduate school,23,single,0
23955,50000,14,4919,Female,univeristy,54,single,0
21167,500000,2,639754,Male,graduate school,35,married,0
25656,360000,0,1120,Male,graduate school,40,married,0
86,50000,0,248515,Female,univeristy,22,single,0
20760,80000,0,345690,Female,highschool,46,single,0
13737,260000,3,0,Male,graduate school,53,married,1
18330,60000,0,0,Male,graduate school,27,single,0
49,20000,2,94976,Male,univeristy,47,single,0
17368,250000,2,621194,Female,univeristy,50,married,0
18728,40000,4,23109,Male,graduate school,37,married,0
23506,70000,7,231521,Male,graduate school,49,single,1
28754,280000,0,16857,Female,univeristy,29,single,0
3948,150000,4,621355,Female,highschool,39,married,0
14651,180000,2,540161,Female,graduate school,28,single,1
9914,240000,4,282627,Male,highschool,33,married,0
10113,110000,0,321437,Male,univeristy,39,married,0
19462,100000,0,333730,Female,graduate school,38,married,0
21430,100000,0,8696,Female,graduate school,29,single,0
24112,180000,0,84494,Male,univeristy,70,married,0
21557,330000,0,519759,Male,univeristy,45,married,0
1038,80000,0,194107,Female,univeristy,42,single,0
18755,150000,0,15447,Female,graduate school,36,single,0
26703,230000,0,1098007,Male,graduate school,39,married,0
23382,50000,2,145906,Female,univeristy,24,single,0
15767,50000,0,194100,Female,univeristy,35,single,0
932,200000,0,134017,Female,univeristy,26,single,0
13828,180000,0,0,Female,graduate school,29,single,1
28965,130000,0,48671,Female,univeristy,37,married,1
17056,500000,0,75739,Male,graduate school,34,single,0
14558,50000,6,171542,Male,highschool,41,married,0
20210,80000,0,18356,Female,highschool,51,married,0
12819,30000,2,164242,Male,highschool,27,single,0
17379,20000,0,1340,Male,highschool,23,single,1
11411,20000,2,89544,Female,univeristy,25,married,1
16369,50000,0,0,Male,highschool,54,single,0
10582,360000,0,1583828,Female,univeristy,41,single,1
16759,210000,0,47272,Male,univeristy,43,married,0
10782,240000,0,4554,Male,univeristy,33,married,0
9079,500000,2,152654,Female,graduate school,38,married,0
15145,160000,0,540181,Male,univeristy,29,single,0
22392,30000,12,125606,Male,univeristy,30,single,1
5025,300000,0,0,Male,highschool,56,married,1
15597,260000,0,2206,Female,graduate school,37,married,0
25102,360000,0,730605,Male,univeristy,44,single,0
11388,500000,0,22497,Male,graduate school,55,married,0
2639,20000,2,87300,Male,highschool,43,married,0
16800,140000,6,191803,Female,highschool,40,married,1
12401,240000,0,735352,Female,univeristy,35,single,0
6896,20000,0,0,Male,univeristy,44,married,0
28182,230000,0,13312,Female,univeristy,26,single,0
17245,500000,2,2071961,Male,graduate school,35,married,1
14825,50000,0,160946,Female,univeristy,24,married,0
25791,50000,7,211965,Male,univeristy,34,single,0
18360,360000,0,251525,Female,univeristy,26,single,0
21071,280000,3,0,Female,graduate school,30,single,0
13595,160000,0,0,Female,univeristy,29,single,0
942,50000,0,23500,Female,highschool,33,married,0
19948,120000,0,483369,Female,graduate school,26,single,0
12459,360000,0,29865,Male,graduate school,37,married,0
25551,10000,0,36482,Female,univeristy,32,married,1
3180,290000,0,560,Female,graduate school,30,single,0
13544,210000,0,6876,Female,univeristy,48,married,0
16107,50000,0,17233,Female,graduate school,31,single,0
2437,50000,0,141167,Male,univeristy,30,single,1
19610,110000,0,165375,Male,univeristy,29,single,0
5875,20000,7,108009,Male,univeristy,30,single,0
7910,140000,12,413956,Female,univeristy,58,married,1
26421,140000,0,1399,Female,graduate school,31,single,0
21852,10000,5,55740,Male,highschool,30,married,0
21278,200000,0,712553,Male,graduate school,37,single,0
11288,100000,6,227396,Male,univeristy,32,single,1
21537,220000,0,464479,Male,graduate school,31,single,0
25521,140000,2,633075,Female,univeristy,34,married,0
19276,290000,0,740476,Female,univeristy,29,single,0
15991,360000,0,0,Female,graduate school,26,single,0
9465,210000,0,0,Female,graduate school,35,single,0
13623,130000,0,53505,Female,graduate school,26,single,1
19404,70000,0,392181,Male,univeristy,39,married,1
11831,80000,0,176243,Female,univeristy,40,single,1
7821,20000,15,103482,Male,univeristy,35,single,1
1784,350000,6,29441,Male,graduate school,35,married,0
1503,120000,0,95897,Female,highschool,50,single,0
3351,110000,4,627151,Female,graduate school,37,married,0
26645,240000,0,355,Female,univeristy,44,married,1
6034,240000,2,463682,Female,univeristy,53,married,0
4053,130000,4,587021,Male,univeristy,30,single,0
25771,180000,1,0,Female,graduate school,27,single,0
10229,100000,0,373244,Male,graduate school,27,single,0
184,150000,0,694020,Female,graduate school,30,single,0
15228,60000,4,331594,Male,univeristy,27,single,1
764,120000,1,0,Female,univeristy,33,married,0
27220,30000,0,73787,Male,univeristy,37,married,1
15399,30000,12,156616,Female,graduate school,23,single,1
7929,150000,3,156250,Female,univeristy,24,single,0
15102,110000,0,421254,Male,univeristy,24,single,0
397,360000,0,58553,Male,graduate school,28,single,0
182,80000,2,993,Female,graduate school,31,single,0
6836,170000,0,253042,Female,univeristy,29,married,0
12838,60000,7,325767,Female,univeristy,26,single,0
21081,80000,0,436078,Male,univeristy,39,married,0
15832,130000,2,172196,Female,univeristy,40,married,1
1064,140000,0,197,Female,univeristy,24,single,0
4391,260000,0,0,Female,graduate school,28,married,1
19069,470000,0,965,Female,univeristy,36,married,0
20459,80000,0,317715,Female,univeristy,24,single,0
12814,360000,2,154426,Male,graduate school,40,married,0
19,160000,0,46301,Female,highschool,37,married,0
21039,50000,0,171910,Male,univeristy,32,single,0
24814,120000,1,0,Female,graduate school,32,single,0
21597,20000,0,57468,Female,univeristy,22,single,1
28492,120000,1,411568,Male,graduate school,45,married,1
26884,30000,0,390,Male,univeristy,45,married,0
8960,200000,12,1014392,Male,graduate school,42,married,0
18676,50000,6,227684,Female,univeristy,28,married,0
13938,180000,2,428583,Male,graduate school,26,single,0
14072,50000,0,208281,Male,univeristy,36,married,1
747,280000,4,5452,Female,graduate school,28,single,0
12529,200000,0,10665,Female,graduate school,40,single,0
593,30000,3,120417,Male,highschool,26,married,1
6548,50000,4,4933,Male,univeristy,44,married,1
18403,70000,6,212695,Male,highschool,43,married,1
10290,10000,16,6300,Male,univeristy,38,single,1
12982,280000,0,0,Male,graduate school,42,married,0
5085,470000,0,345212,Female,univeristy,35,married,0
18244,30000,4,0,Male,graduate school,25,single,1
10313,50000,0,153284,Male,univeristy,37,married,0
16004,240000,0,47902,Female,graduate school,30,single,0
10439,450000,0,26633,Female,graduate school,46,married,1
19136,20000,0,39482,Female,univeristy,26,single,0
10442,20000,0,0,Male,univeristy,25,single,0
24336,360000,0,1862,Female,highschool,42,married,0
13015,250000,0,1710,Male,graduate school,30,single,0
16237,50000,0,5528,Female,univeristy,37,married,0
13264,280000,1,0,Male,graduate school,34,single,0
19435,200000,2,78629,Female,graduate school,30,married,0
23415,200000,0,0,Female,graduate school,42,married,1
22421,50000,11,109555,Female,univeristy,39,married,1
9996,50000,0,45734,Female,univeristy,25,single,0
23115,460000,0,1845173,Female,univeristy,46,single,0
17163,360000,0,1988,Male,graduate school,28,single,0
7226,410000,0,108944,Female,graduate school,37,married,0
27681,310000,0,0,Male,graduate school,33,married,0
25805,150000,0,482614,Male,univeristy,43,married,0
26624,260000,0,0,Male,graduate school,29,single,1
16786,150000,0,540148,Female,highschool,41,married,1
12435,20000,2,106713,Male,univeristy,43,married,1
16671,150000,0,0,Female,highschool,52,married,0
12820,30000,0,163875,Female,graduate school,25,single,0
25380,310000,0,67359,Female,univeristy,46,married,0
8455,70000,0,137862,Female,univeristy,32,married,0
13927,130000,0,139791,Male,univeristy,33,married,0
8900,500000,0,31421,Female,univeristy,32,married,0
19915,60000,0,167540,Female,highschool,23,single,0
20539,210000,0,109084,Male,univeristy,38,single,0
21103,60000,0,114741,Female,univeristy,27,single,0
20578,380000,0,1829668,Female,graduate school,31,single,0
335,80000,0,339088,Female,highschool,55,single,0
9754,180000,1,0,Female,univeristy,35,single,0
20610,200000,22,1049910,Male,graduate school,30,single,0
